date,sales,is_promotion
2021-01-01,165.97,0
2021-01-02,215.34,0
2021-01-03,164.07,0
2021-01-04,138.22,0
2021-01-05,134.16,0
2021-01-06,145.86,0
2021-01-07,134.25,0
2021-01-08,180.27,0
2021-01-09,201.29,0
2021-01-10,174.33,0
2021-01-11,153.15,0
2021-01-12,149.99,0
2021-01-13,145.65,0
2021-01-14,141.1,0
2021-01-15,200.1,0
2021-01-16,205.23,0
2021-01-17,184.79,0
2021-01-18,206.41,1
2021-01-19,176.14,0
2021-01-20,131.26,0
2021-01-21,163.6,0
2021-01-22,164.36,0
2021-01-23,216.74,0
2021-01-24,217.84,0
2021-01-25,162.29,0
2021-01-26,158.28,0
2021-01-27,148.09,0
2021-01-28,195.87,1
2021-01-29,194.32,0
2021-01-30,207.13,0
2021-01-31,195.4,0
2021-02-01,163.57,0
2021-02-02,149.95,0
2021-02-03,150.23,0
2021-02-04,142.81,0
2021-02-05,209.97,0
2021-02-06,233.2,0
2021-02-07,209.42,0
2021-02-08,181.35,0
2021-02-09,169.14,0
2021-02-10,174.66,0
2021-02-11,174.3,0
2021-02-12,209.35,0
2021-02-13,223.75,0
2021-02-14,245.93,0
2021-02-15,166.95,0
2021-02-16,164.76,0
2021-02-17,182.28,0
2021-02-18,180.59,0
2021-02-19,196.79,0
2021-02-20,255.76,0
2021-02-21,258.43,1
2021-02-22,164.39,0
2021-02-23,199.97,0
2021-02-24,192.62,0
2021-02-25,165.36,0
2021-02-26,252.09,0
2021-02-27,256.43,0
2021-02-28,227.51,0
2021-03-01,212.64,0
2021-03-02,192.31,0
2021-03-03,190.63,0
2021-03-04,182.29,0
2021-03-05,242.07,0
2021-03-06,261.64,0
2021-03-07,235.87,0
2021-03-08,184.96,0
2021-03-09,199.93,0
2021-03-10,228.96,1
2021-03-11,180.32,0
2021-03-12,219.42,0
2021-03-13,271.15,0
2021-03-14,204.82,0
2021-03-15,208.12,0
2021-03-16,271.4,1
2021-03-17,227.03,0
2021-03-18,201.19,0
2021-03-19,259.67,0
2021-03-20,265.02,0
2021-03-21,253.87,0
2021-03-22,224.4,0
2021-03-23,207.6,0
2021-03-24,230.68,0
2021-03-25,202.01,0
2021-03-26,366.11,1
2021-03-27,293.13,0
2021-03-28,270.38,0
2021-03-29,250.41,0
2021-03-30,211.39,0
2021-03-31,203.33,0
2021-04-01,210.28,0
2021-04-02,276.27,0
2021-04-03,295.0,0
2021-04-04,270.23,0
2021-04-05,213.01,0
2021-04-06,242.51,0
2021-04-07,213.79,0
2021-04-08,250.69,0
2021-04-09,317.31,0
2021-04-10,301.07,0
2021-04-11,285.45,0
2021-04-12,230.44,0
2021-04-13,211.79,0
2021-04-14,231.01,0
2021-04-15,224.76,0
2021-04-16,260.55,0
2021-04-17,329.17,0
2021-04-18,288.51,0
2021-04-19,251.18,0
2021-04-20,241.92,0
2021-04-21,245.01,0
2021-04-22,263.12,0
2021-04-23,289.2,0
2021-04-24,318.67,0
2021-04-25,288.79,0
2021-04-26,247.61,0
2021-04-27,232.63,0
2021-04-28,225.06,0
2021-04-29,251.77,0
2021-04-30,297.51,0
2021-05-01,298.32,0
2021-05-02,298.04,0
2021-05-03,260.29,0
2021-05-04,228.07,0
2021-05-05,310.94,1
2021-05-06,268.32,0
2021-05-07,308.9,0
2021-05-08,306.65,0
2021-05-09,307.19,0
2021-05-10,280.99,0
2021-05-11,278.14,0
2021-05-12,265.87,0
2021-05-13,261.09,0
2021-05-14,299.45,0
2021-05-15,336.68,0
2021-05-16,385.29,1
2021-05-17,280.61,0
2021-05-18,273.88,0
2021-05-19,284.9,0
2021-05-20,274.74,0
2021-05-21,325.78,0
2021-05-22,347.74,0
2021-05-23,303.26,0
2021-05-24,248.85,0
2021-05-25,299.75,0
2021-05-26,281.05,0
2021-05-27,252.08,0
2021-05-28,307.66,0
2021-05-29,350.51,0
2021-05-30,432.96,1
2021-05-31,272.32,0
2021-06-01,301.52,0
2021-06-02,265.29,0
2021-06-03,269.51,0
2021-06-04,325.11,0
2021-06-05,348.24,0
2021-06-06,330.25,0
2021-06-07,296.88,0
2021-06-08,286.59,0
2021-06-09,291.32,0
2021-06-10,280.45,0
2021-06-11,325.62,0
2021-06-12,346.61,0
2021-06-13,391.61,1
2021-06-14,297.18,0
2021-06-15,294.19,0
2021-06-16,286.78,0
2021-06-17,274.21,0
2021-06-18,327.58,0
2021-06-19,346.34,0
2021-06-20,329.84,0
2021-06-21,320.21,0
2021-06-22,279.4,0
2021-06-23,293.72,0
2021-06-24,303.52,0
2021-06-25,440.13,1
2021-06-26,382.73,0
2021-06-27,322.05,0
2021-06-28,292.62,0
2021-06-29,275.8,0
2021-06-30,282.52,0
2021-07-01,291.51,0
2021-07-02,340.44,0
2021-07-03,352.49,0
2021-07-04,346.52,0
2021-07-05,286.13,0
2021-07-06,282.48,0
2021-07-07,327.9,0
2021-07-08,293.12,0
2021-07-09,316.27,0
2021-07-10,336.48,0
2021-07-11,312.57,0
2021-07-12,300.56,0
2021-07-13,280.83,0
2021-07-14,287.98,0
2021-07-15,284.87,0
2021-07-16,336.53,0
2021-07-17,332.58,0
2021-07-18,308.85,0
2021-07-19,288.04,0
2021-07-20,293.36,0
2021-07-21,288.99,0
2021-07-22,271.5,0
2021-07-23,333.43,0
2021-07-24,383.69,1
2021-07-25,314.66,0
2021-07-26,267.91,0
2021-07-27,301.15,0
2021-07-28,290.69,0
2021-07-29,289.8,0
2021-07-30,338.96,0
2021-07-31,381.96,0
2021-08-01,293.63,0
2021-08-02,267.68,0
2021-08-03,268.99,0
2021-08-04,264.93,0
2021-08-05,260.97,0
2021-08-06,312.08,0
2021-08-07,317.75,0
2021-08-08,320.43,0
2021-08-09,275.58,0
2021-08-10,281.41,0
2021-08-11,281.18,0
2021-08-12,281.98,0
2021-08-13,306.69,0
